LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,COLLATERAL,L_P_RATIO,L_C_RATIO,C_P_RATIO,HIGH_DEBTINC_FLAG,HAS_DEROG
12300,50441.0,56656.0,DebtCon,Office,1.0,0.0,0.0,186.45101665,0.0,21.0,35.452607421,6215.0,0.21709968935329002,1.9790828640386162,0.10969711945778028,0,0
9000,90969.0,108606.0,HomeImp,Mgr,5.0,4.0,2.0,113.25750907,5.0,28.0,27.34759661,17637.0,0.08286834981492736,0.5102908657935022,0.16239434285398596,0,1
52200,65019.0,81115.0,HomeImp,Self,10.0,0.0,0.0,173.21428423,1.0,21.0,24.981882821,26623.0,0.6435307896196758,0.6479140328697851,0.28113879003558717,0,0
14900,72637.0,103297.0,DebtCon,Other,4.0,2.0,0.0,83.466086341,0.0,20.0,22.553039619,30660.0,0.14424426653242592,0.48597521200260924,0.29681404106605225,0,1
26400,153853.0,188760.0,HomeImp,Self,2.0,0.0,0.0,172.57083327,0.0,17.0,43.35819405,34907.0,0.13986013986013987,0.756295298937176,0.18492795083704175,0,0
7700,14776.0,32287.0,Unknown,Unknown,7.0,0.0,0.0,173.46666667,1.0,20.0,34.880462318,17511.0,0.23848607798804472,0.43972360230712126,0.5423545080063183,0,0
5500,52897.0,65054.0,HomeImp,Office,20.0,0.0,0.0,189.29531847,0.0,19.0,20.654128896,12157.0,0.08454514710855597,0.4524142469359217,0.18687551879976635,0,0
5500,93051.0,115374.0,HomeImp,ProfExe,6.0,0.0,0.0,187.02051879,1.0,27.0,27.646748505,22323.0,0.04767105240348779,0.24638265466111187,0.1934838005096469,0,0
22400,65502.0,104373.0,HomeImp,Office,14.0,0.0,0.0,141.81282338,0.0,13.0,36.221943144,38871.0,0.2146148908242553,0.5762650819376913,0.37242390273346554,0,0
10100,58446.0,71145.0,HomeImp,Other,4.0,0.0,1.0,244.62436764,1.0,15.0,38.117306388,12699.0,0.1419635954740319,0.7953382156075282,0.17849462365591398,0,0
21700,58363.0,78411.0,DebtCon,Unknown,5.0,0.0,0.0,104.17477035,0.0,16.0,38.188435476,20048.0,0.27674688500337963,1.0824022346368716,0.25567841246763845,0,0
13800,21711.0,32357.0,DebtCon,Office,7.0,0.0,0.0,105.66623421,0.0,17.0,20.333155595,10646.0,0.42649194919182865,1.2962615066691716,0.32901690515189913,0,0
4500,57000.0,89235.5,HomeImp,Other,5.0,0.0,0.0,222.6,1.0,13.0,34.818261819,26623.0,0.17052682455753387,0.6479140328697851,0.28113879003558717,0,0
18400,40673.0,60418.0,HomeImp,Other,27.0,0.0,0.0,247.64957888,0.0,13.0,24.980298956,19745.0,0.3045450031447582,0.931881488984553,0.32680658082028535,0,0
22400,25585.0,54049.0,Unknown,ProfExe,20.0,0.0,0.0,251.35800302,0.0,19.0,25.202706374,28464.0,0.4144387500231272,0.7869589657110736,0.5266332402079594,0,0
21000,69097.0,105200.0,DebtCon,Other,7.0,1.0,0.0,237.82012891,1.0,13.0,40.305773569,36103.0,0.19961977186311788,0.5816691133700801,0.3431844106463878,0,1
26900,69000.0,106500.0,DebtCon,Sales,0.6,0.0,1.0,115.7,2.0,19.0,34.818261819,37500.0,0.25258215962441316,0.7173333333333334,0.352112676056338,0,0
26800,145772.0,193135.0,DebtCon,ProfExe,12.0,0.0,0.0,147.93879535,0.0,36.0,40.904321038,47363.0,0.13876304139591478,0.5658425353123746,0.24523260931472804,0,0
8400,65019.0,39106.0,HomeImp,Other,7.0,0.0,1.0,80.075339194,0.0,10.0,35.683502202,26623.0,0.2148007978315348,0.6479140328697851,0.28113879003558717,0,0
28200,90485.0,123674.0,DebtCon,Other,1.0,0.0,1.0,189.73474189,2.0,25.0,41.676985544,33189.0,0.22801882368161458,0.8496791105486757,0.26835874961592576,0,0
17400,62824.0,82243.0,DebtCon,Other,5.0,0.0,0.0,109.48274852,0.0,7.0,34.818444993,19419.0,0.21156815777634572,0.8960296616715587,0.23611735953211824,0,0
15300,81500.0,102000.0,HomeImp,ProfExe,3.5,0.0,0.0,123.76666667,1.0,25.0,34.818261819,20500.0,0.15,0.7463414634146341,0.20098039215686275,0,0
31000,13542.0,58827.0,DebtCon,Other,0.0,0.0,0.0,92.1329084,0.0,6.0,36.256968747,45285.0,0.5269689088343787,0.684553384122778,0.7697995818246723,0,0
31800,195134.0,289635.4099999999,DebtCon,Other,29.0,0.0,0.0,161.88512635,0.0,22.0,38.637023919,104165.0,0.10624826678338384,0.30528488455815295,0.3480298965248798,0,0
5100,179725.0,251962.0,DebtCon,Sales,7.0,0.0,0.0,127.49881344,0.0,22.0,40.308259362,72237.0,0.02024114747461919,0.07060093857718344,0.2866979941419738,0,0
12800,66293.0,92423.0,HomeImp,Office,27.0,0.0,0.0,169.72388834,1.0,14.0,41.232162564,26130.0,0.13849366499680815,0.4898584003061615,0.28272183330989037,0,0
10400,42714.0,72322.0,DebtCon,Other,12.0,0.0,0.0,105.07480159,6.0,15.0,41.262353472,29608.0,0.14380133292773983,0.3512564171845447,0.40939133320428084,0,0
25000,99348.0,200000.0,DebtCon,Other,23.0,0.0,0.0,199.83333333,0.0,19.0,34.818261819,100652.0,0.125,0.24838055875690498,0.50326,0,0
18200,53646.0,156048.0,DebtCon,ProfExe,20.0,0.0,0.0,232.29712557,0.0,27.0,20.856067533,102402.0,0.1166307802727366,0.17773090369328723,0.6562211627191633,0,0
22100,65019.0,65192.0,HomeImp,Office,9.0,0.0,0.0,128.1567931,1.0,4.0,18.882955601,26623.0,0.3389986501411216,0.6479140328697851,0.28113879003558717,0,0
17200,50742.0,71000.0,DebtCon,Other,15.0,0.0,0.0,173.46666667,0.0,0.0,34.818261819,20258.0,0.24225352112676057,0.8490472899595222,0.28532394366197183,0,0
15700,81709.0,111127.0,HomeImp,ProfExe,4.0,0.0,0.0,123.62444842,0.0,25.0,37.5606476,29418.0,0.14127979698903056,0.5336868583860221,0.26472414444734405,0,0
16500,44110.0,65748.0,DebtCon,Other,7.0,0.0,0.0,99.193552575,3.0,14.0,41.415631251,21638.0,0.2509582040518343,0.7625473703669471,0.329105067834763,0,0
24300,42276.0,68775.0,DebtCon,Other,24.0,0.0,0.0,309.68358561,2.0,31.0,32.746506891,26499.0,0.3533260632497274,0.9170157364428846,0.3852998909487459,0,0
15700,46124.0,67964.0,DebtCon,ProfExe,6.0,0.0,0.0,155.75478906,2.0,12.0,28.797918584,21840.0,0.23100464952033428,0.7188644688644689,0.32134659525631215,0,0
14200,44412.0,72946.0,DebtCon,ProfExe,19.0,0.0,0.0,196.1321341,0.0,15.0,23.773201872,28534.0,0.19466454637677186,0.4976519240204668,0.3911660680503386,0,0
27100,44095.0,77587.0,DebtCon,Mgr,14.0,1.0,0.0,92.140029015,6.0,15.0,33.535547201,33492.0,0.3492853184167451,0.8091484533619969,0.43167025403740317,0,1
13500,40786.0,66872.0,DebtCon,Mgr,7.0,0.0,0.0,173.46666667,1.0,20.0,35.364139723,26086.0,0.2018782150974997,0.5175189756957755,0.39008852733580573,0,0
2500,15000.0,20200.0,HomeImp,Unknown,18.0,0.0,0.0,136.06666667,1.0,19.0,34.818261819,5200.0,0.12376237623762376,0.4807692307692308,0.25742574257425743,0,0
14200,100664.0,129166.0,DebtCon,Mgr,4.0,0.0,0.0,255.68764844,2.0,41.0,38.746759787,28502.0,0.10993605128284534,0.4982106518840783,0.22066178406082096,0,0
26400,59288.0,87753.0,DebtCon,Other,8.0,1.0,1.0,145.88249239,3.0,29.0,38.972486705,28465.0,0.3008444155755359,0.9274547690145793,0.3243763745968799,0,1
26100,113266.0,182082.0,DebtCon,Sales,18.0,0.0,0.0,304.85246909,1.0,31.0,33.193949357,68816.0,0.14334201074241276,0.37927226226458965,0.377939609626432,0,0
9100,78210.0,86558.0,DebtCon,Mgr,8.0,0.0,0.0,92.111504281,0.0,23.0,28.167074697,8348.0,0.10513181912705931,1.0900814566363202,0.0964440028651309,0,0
10200,65803.0,85155.0,HomeImp,Other,15.0,0.0,0.0,218.48175459,0.0,36.0,36.182192009,19352.0,0.11978157477540954,0.5270773046713518,0.227256179907228,0,0
4000,105164.0,112774.0,HomeImp,Office,1.0,0.0,0.0,94.724874167,0.0,13.0,29.390928055,7610.0,0.03546916842534627,0.5256241787122208,0.06748009292922127,0,0
15000,81483.0,134347.0,DebtCon,ProfExe,14.0,0.0,0.0,305.91507573,0.0,18.0,29.653563484,52864.0,0.11165117196513506,0.28374697336561744,0.3934885036509933,0,0
23700,46910.0,75136.0,DebtCon,Other,10.0,0.0,0.0,119.23120438,1.0,19.0,43.829588004,28226.0,0.31542802385008517,0.839651385247644,0.3756654599659284,0,0
9300,81986.0,94513.0,DebtCon,Other,2.0,3.0,0.0,173.46666667,0.0,4.0,31.89390379,12527.0,0.09839916202003957,0.7423964237247546,0.1325426131854877,0,1
11100,48031.0,107561.0,DebtCon,ProfExe,5.0,0.0,1.0,226.78110513,0.0,9.0,24.190326625,59530.0,0.10319725551082641,0.18646060809675793,0.5534533892395943,0,0
10100,68240.0,84067.0,DebtCon,Sales,8.0,0.0,0.0,131.40418009,0.0,35.0,28.443810481,15827.0,0.12014226747713133,0.6381499968408416,0.1882665017188671,0,0
20600,114947.0,173502.0,DebtCon,Office,4.0,0.0,0.0,219.33687955,4.0,24.0,40.543738916,58555.0,0.11873061981994444,0.3518059943642729,0.3374889050270314,0,0
15500,96426.0,122322.0,DebtCon,Office,12.0,0.0,0.0,226.28452431,0.0,12.0,40.86810919,25896.0,0.12671473651509949,0.5985480383070745,0.21170353656742041,0,0
18300,90099.0,118545.0,DebtCon,ProfExe,12.0,0.0,0.0,140.51585064,3.0,18.0,38.899231691,28446.0,0.1543717575604201,0.6433241932081839,0.23995950904719726,0,0
7900,44682.0,57285.0,DebtCon,Unknown,7.0,1.0,0.0,110.07185689,1.0,25.0,25.409016713,12603.0,0.13790695644584097,0.626834880583988,0.2200052369730296,0,1
19100,58453.0,76731.0,DebtCon,Other,15.0,1.0,0.0,203.14107643,1.0,21.0,36.228729628,18278.0,0.24892155712814898,1.0449720976036765,0.23820880739205796,0,1
4900,67794.0,84630.0,HomeImp,Other,4.0,0.0,0.0,112.57341888,0.0,15.0,41.673996362,16836.0,0.05789909015715467,0.29104300308861963,0.1989365473236441,0,0
23900,85097.0,100730.0,HomeImp,Unknown,9.0,0.0,0.0,173.46666667,1.0,20.0,29.508517268,15633.0,0.23726794400873621,1.528817245570268,0.15519706145140474,0,0
11700,65019.0,67940.0,HomeImp,Mgr,3.0,3.0,4.0,204.02559324,1.0,38.0,34.818261819,26623.0,0.17221077421254047,0.6479140328697851,0.28113879003558717,0,1
5700,26927.0,35461.0,DebtCon,Other,0.0,1.0,0.0,21.799352154,8.0,6.0,29.439664242,8534.0,0.16073996785200642,0.6679165690180454,0.24065875186824962,0,1
11200,93649.0,113833.0,DebtCon,Other,13.0,0.0,0.0,205.11724572,3.0,16.0,39.126130259,20184.0,0.0983897463828591,0.5548949663099485,0.1773123786599668,0,0
32800,13781.0,43371.0,DebtCon,Other,28.0,0.0,0.0,203.83930475,0.0,14.0,40.657779937,29590.0,0.7562657075004035,1.108482595471443,0.6822531184431994,0,0
18700,68196.0,89641.0,DebtCon,Other,0.0,2.0,1.0,112.97604123,1.0,26.0,34.414621628,21445.0,0.20860989948795752,0.8719981347633481,0.23923204783525395,0,1
12000,63589.0,75959.0,HomeImp,Office,14.0,1.0,0.0,253.61692796,1.0,31.0,43.15970058,12370.0,0.15797996287470872,0.9700889248181084,0.16285101173001224,0,1
22000,92000.0,89235.5,DebtCon,Office,4.0,0.0,5.0,218.0,1.0,39.0,34.818261819,26623.0,0.17052682455753387,0.6479140328697851,0.28113879003558717,0,0
9900,37609.0,120186.0,DebtCon,Other,7.0,0.0,0.0,176.36783901,3.0,30.0,47.48836861427997,82577.0,0.08237232289950576,0.11988810443585986,0.6870766977850997,1,0
6200,42100.0,57385.0,DebtCon,Other,8.5,0.0,1.0,164.8,1.0,28.0,34.818261819,15285.0,0.10804217129911999,0.40562643114164215,0.26635880456565303,0,0
10300,39893.0,55000.0,DebtCon,Other,1.5,0.0,1.0,99.433333333,2.0,32.0,34.818261819,15107.0,0.18727272727272729,0.6818031376183227,0.2746727272727273,0,0
23700,76196.0,100929.0,DebtCon,Other,17.0,0.0,0.0,180.73115396,1.0,13.0,41.526026449,24733.0,0.23481853580239576,0.9582339384627825,0.24505345341774912,0,0
16600,74681.0,95471.0,DebtCon,Other,6.0,0.0,0.0,187.65351043,4.0,19.0,40.453753155,20790.0,0.17387478920300406,0.7984607984607984,0.21776246189942497,0,0
10700,54091.0,67661.0,HomeImp,Other,27.0,0.0,2.0,188.53398908,0.0,24.0,38.589372345,13570.0,0.15814132217968993,0.7885040530582167,0.2005586674746161,0,0
24100,184697.0,238729.0,DebtCon,ProfExe,2.0,0.0,0.0,317.69255678,0.0,26.0,37.782036284,54032.0,0.10095128786196901,0.4460319810482677,0.22633194961651076,0,0
26500,65019.0,122693.0,DebtCon,Mgr,9.0,0.0,0.0,153.94242808,0.0,27.0,32.200811209,26623.0,0.21598624208390046,0.6479140328697851,0.28113879003558717,0,0
17800,68889.0,85642.0,DebtCon,Other,0.0,2.0,2.0,105.76796088,2.0,25.0,34.629922009,16753.0,0.20784194670839073,1.062496269324897,0.19561663669694776,0,1
13800,85805.0,135789.0,DebtCon,ProfExe,15.0,0.0,0.0,303.68822972,0.0,18.0,27.869079212,49984.0,0.10162826149393545,0.27608834827144685,0.36810050887774415,0,0
9100,65019.0,74450.0,Unknown,Unknown,7.0,0.0,0.0,173.46666667,1.0,20.0,23.942516508,26623.0,0.12222968435191403,0.6479140328697851,0.28113879003558717,0,0
28400,90823.0,126845.0,DebtCon,Other,1.0,0.0,0.0,188.77345493,1.0,25.0,42.896715113,36022.0,0.2238953052938626,0.7884070845594359,0.2839843903977295,0,0
25100,77088.0,111568.0,DebtCon,Mgr,7.0,0.0,0.0,288.00802523,2.0,29.0,32.550837642,34480.0,0.2249749031980496,0.7279582366589327,0.30904918973182277,0,0
16700,59207.0,83146.0,DebtCon,Other,2.0,0.0,0.0,309.49638798,3.0,15.0,43.48806641,23939.0,0.20085151420393044,0.6976064163081165,0.28791523344478387,0,0
22600,31933.0,47669.0,HomeImp,Self,4.0,0.0,0.0,133.44747901,1.0,11.0,24.201086188,15736.0,0.4741026663030481,1.4361972547025927,0.3301097149090604,0,0
17800,36902.0,57622.0,HomeImp,Other,9.0,0.0,0.0,121.87970265,0.0,10.0,19.142116568,20720.0,0.3089097913991184,0.859073359073359,0.35958488077470413,0,0
27600,150120.0,191972.0,HomeImp,Self,3.0,0.0,0.0,178.03849109,1.0,16.0,41.807428045,41852.0,0.14377096659929572,0.6594666921533021,0.2180109599316567,0,0
31200,14906.0,64767.0,DebtCon,Other,0.0,0.0,0.0,80.355570586,0.0,5.0,35.039075366,49861.0,0.4817268053175228,0.6257395559655843,0.7698519307672117,0,0
40000,231128.05999999994,289635.4099999999,HomeImp,ProfExe,3.0,0.0,0.0,313.46666667,4.0,15.0,34.818261819,103000.0,0.08602150537634409,0.3883495145631068,0.221505376344086,0,0
13100,50552.0,59889.0,DebtCon,Other,4.0,0.0,0.0,178.61236257,0.0,13.0,38.763313808,9337.0,0.21873799863080032,1.4030202420477669,0.15590509108517425,0,0
21100,91479.0,127110.0,DebtCon,Office,25.0,0.0,0.0,279.46823675,3.0,16.0,33.078522222,35631.0,0.16599795452757454,0.5921809660127417,0.28031626150578237,0,0
10000,32000.0,59000.0,DebtCon,Office,24.0,0.0,1.0,232.33333333,1.0,29.0,34.818261819,27000.0,0.1694915254237288,0.37037037037037035,0.4576271186440678,0,0
13400,60174.0,81944.0,DebtCon,Other,1.0,0.0,0.0,125.38544605,3.0,9.0,36.229863857,21770.0,0.16352631065117643,0.6155259531465319,0.2656692375280679,0,0
29300,228059.0,289635.4099999999,DebtCon,ProfExe,16.0,0.0,1.0,259.67720211,2.0,26.0,28.173645541,63255.0,0.10057875694268041,0.463204489763655,0.21713683516755117,0,0
10000,10000.0,68250.0,DebtCon,ProfExe,20.0,0.0,2.0,398.56537894799993,1.0,12.0,34.818261819,58250.0,0.14652014652014653,0.17167381974248927,0.8534798534798534,0,0
10100,68820.0,78830.0,DebtCon,Other,2.0,0.0,0.0,170.7224523,1.0,34.0,29.206752832,10010.0,0.12812381073195483,1.008991008991009,0.1269821134086008,0,0
20300,37056.0,55027.0,DebtCon,Other,7.0,0.0,0.0,223.55369158,0.0,13.0,40.326049305,17971.0,0.36890980791247935,1.1295976851594236,0.32658513093572245,0,0
2200,23030.0,89235.5,Unknown,Unknown,19.0,0.0,0.0,173.46666667,1.0,20.0,3.7113122995,26623.0,0.17052682455753387,0.6479140328697851,0.28113879003558717,0,0
12000,59099.0,82000.0,DebtCon,Other,10.0,0.0,2.0,219.13333333,0.0,33.0,34.818261819,22901.0,0.14634146341463414,0.5239945853892843,0.2792804878048781,0,0
21700,24984.0,92297.0,DebtCon,Other,26.0,0.0,5.0,238.36963726,1.0,20.0,16.397160872,67313.0,0.2351105669740078,0.3223745784618127,0.7293086449180364,0,0
15000,65019.0,74750.0,DebtCon,Unknown,7.0,0.0,0.0,173.46666667,1.0,20.0,34.818261819,26623.0,0.20066889632107024,0.6479140328697851,0.28113879003558717,0,0
17400,54161.0,75500.0,DebtCon,Office,4.0,0.0,0.0,23.333333333,5.0,11.0,34.818261819,21339.0,0.2304635761589404,0.8154084071418529,0.28263576158940396,0,0
20600,69949.0,101807.0,HomeImp,Other,3.0,0.0,0.0,218.39093903,0.0,13.0,30.271239302,31858.0,0.2023436502401603,0.6466193734697722,0.31292543734713724,0,0
38100,204071.0,270794.0,DebtCon,ProfExe,3.0,0.0,0.0,230.39857646,0.0,32.0,31.369739388,66723.0,0.14069735666225988,0.5710174902207634,0.24639763067128517,0,0
26600,84843.0,115850.0,DebtCon,Sales,2.0,0.0,0.0,137.53887762,2.0,37.0,42.571889924,31007.0,0.229607250755287,0.8578708033669816,0.26764782045748814,0,0
24500,134188.0,171658.0,DebtCon,Other,5.0,1.0,0.0,219.16757792,0.0,20.0,34.986140572,37470.0,0.14272565216884736,0.6538564184681078,0.21828286476598818,0,1
12900,64245.0,83823.0,DebtCon,Office,13.0,0.0,0.0,246.8377195,3.0,36.0,40.560130328,19578.0,0.15389570881500303,0.65890285013791,0.23356358040156044,0,0
15800,71820.0,89739.0,DebtCon,Other,0.0,1.0,1.0,122.95558706,1.0,25.0,33.519070443,17919.0,0.17606614738296616,0.8817456331268486,0.19967906930097282,0,1
13000,15374.0,59309.0,HomeImp,Other,6.0,2.0,0.0,355.13122911,1.0,21.0,15.823615554,43935.0,0.21919101654049133,0.2958916581313304,0.7407813316697297,0,1
8700,65019.0,32855.0,HomeImp,Unknown,7.0,0.0,0.0,173.46666667,1.0,20.0,35.937902683,26623.0,0.26479987825292955,0.6479140328697851,0.28113879003558717,0,0
28000,77322.0,118082.0,DebtCon,Other,7.0,0.0,0.0,80.658093685,1.0,31.0,38.815438401,40760.0,0.23712335495672499,0.6869479882237488,0.34518385528700396,0,0
13700,84761.0,95382.0,HomeImp,Office,7.0,0.0,0.0,171.94583874,1.0,25.0,41.960105913,10621.0,0.1436329705814514,1.2898973731287073,0.11135224675515297,0,0
13900,77699.0,92587.0,DebtCon,Other,13.0,0.0,2.0,134.63357916,0.0,36.0,39.196149463,14888.0,0.15012906779569485,0.9336378291241269,0.16080011232678454,0,0
11800,118053.0,125325.0,DebtCon,Self,5.0,0.0,0.0,181.17206513,0.0,18.0,33.200397325,7272.0,0.09415519648912826,1.6226622662266226,0.058025134649910236,0,0
49900,45455.0,102971.0,HomeImp,Self,9.0,0.0,0.0,197.96330934,2.0,36.0,42.064279228,57516.0,0.4846024608870459,0.8675846720912441,0.5585650328733333,0,0
12900,56957.0,73181.0,HomeImp,Other,29.0,1.0,3.0,179.09616602,1.0,23.0,36.394795447,16224.0,0.17627526270480043,0.7951183431952663,0.22169688853664202,0,1
11400,65019.0,38246.0,HomeImp,Other,7.0,0.0,0.0,88.886975341,0.0,10.0,37.658388771,26623.0,0.2980703864456414,0.6479140328697851,0.28113879003558717,0,0
13700,58788.0,87260.0,DebtCon,Office,14.0,0.0,0.0,103.69281836,0.0,24.0,36.665318539,28472.0,0.15700206280082513,0.48117448721551,0.3262892505157002,0,0
9900,71371.0,84865.0,DebtCon,Mgr,0.0,2.0,0.0,94.805235749,0.0,12.0,38.211305102,13494.0,0.11665586519766688,0.7336594041796354,0.15900547929063807,0,1
10200,44000.0,57000.0,DebtCon,Other,0.0,1.0,0.0,191.73333333,2.0,13.0,34.818261819,13000.0,0.17894736842105263,0.7846153846153846,0.22807017543859648,0,1
12500,77937.0,89710.0,DebtCon,Mgr,19.0,0.0,0.0,223.5874152,8.0,24.0,35.951998648,11773.0,0.13933786645858878,1.061751465217022,0.13123397614535726,0,0
36800,35077.0,53120.0,DebtCon,Other,7.0,0.0,0.0,173.46666667,6.0,0.0,34.985012561,18043.0,0.6927710843373494,2.0395721332372667,0.3396649096385542,0,0
17300,44031.0,79187.0,DebtCon,Other,0.0,0.0,1.0,299.70523733,1.0,10.0,35.986669908,35156.0,0.21847020344248425,0.4920923882125384,0.44396176140022986,0,0
2900,104373.0,120702.0,HomeImp,Office,2.0,0.0,0.0,101.54029753,0.0,13.0,29.915859028,16329.0,0.024026113900349623,0.1775981382815849,0.13528359099269274,0,0
42300,231128.05999999994,289635.4099999999,HomeImp,ProfExe,3.0,0.0,0.0,310.05152353,4.0,14.0,42.603640874,102682.0,0.09004387243997608,0.411951461794667,0.21857883947710693,0,0
3900,29896.0,45960.0,HomeImp,Other,11.0,0.0,0.0,146.12324219,0.0,14.0,24.478881191,16064.0,0.08485639686684072,0.2427788844621514,0.3495213228894691,0,0
13600,55901.0,87519.0,DebtCon,Office,13.0,0.0,1.0,107.9131329,0.0,23.0,36.327022401,31618.0,0.15539482855151454,0.4301347333797204,0.3612701242016019,0,0
12000,79844.0,98139.0,HomeImp,ProfExe,8.0,0.0,0.0,156.95475827,0.0,34.0,31.700124322,18295.0,0.12227554794729924,0.6559169171904892,0.1864192624746533,0,0
11800,67678.0,108092.0,HomeImp,ProfExe,13.0,0.0,5.0,126.65823161,0.0,36.0,37.162689687,40414.0,0.10916626577360027,0.2919780274162419,0.37388520889612553,0,0
10000,69727.0,90312.0,HomeImp,Office,4.5,4.0,1.0,122.83333333,1.0,17.0,34.818261819,20585.0,0.11072725662148995,0.48579062424095215,0.22793205775533706,0,1
11800,32257.0,59515.0,DebtCon,Office,23.0,0.0,0.0,231.59994452,0.0,29.0,25.701276422,27258.0,0.19826934386289172,0.4329004329004329,0.4580021843232798,0,0
7500,11358.0,36892.0,DebtCon,Other,5.0,0.0,0.0,286.9228238,0.0,11.0,23.06292573,25534.0,0.20329610755719396,0.293726012375656,0.6921283747153855,0,0
20000,14361.0,50000.0,DebtCon,Other,7.0,0.0,1.0,216.06666667,1.0,10.0,34.818261819,35639.0,0.4,0.5611829737085777,0.71278,0,0
22800,65019.0,57761.0,DebtCon,Other,7.0,0.0,0.0,310.48293878,0.0,18.0,38.505705059,26623.0,0.3947300081369782,0.6479140328697851,0.28113879003558717,0,0
21300,104000.0,155250.0,DebtCon,Mgr,16.0,0.0,0.0,185.7,0.0,26.0,34.818261819,51250.0,0.13719806763285025,0.41560975609756096,0.33011272141706927,0,0
10700,51224.0,70399.0,DebtCon,Mgr,5.0,0.0,0.0,110.67744165,1.0,23.0,42.939294407,19175.0,0.15199079532379722,0.5580182529335072,0.2723760280685805,0,0
10000,48300.0,74600.0,Unknown,Other,14.0,0.0,1.0,179.1,2.0,31.0,34.818261819,26300.0,0.13404825737265416,0.38022813688212925,0.35254691689008044,0,0
36000,203680.0,270992.0,DebtCon,ProfExe,3.0,0.0,0.0,234.02397511,0.0,32.0,29.69634581,67312.0,0.13284525004428174,0.5348229141906347,0.24839109641613036,0,0
18500,102472.0,115719.0,DebtCon,ProfExe,0.0,0.0,0.0,120.09026456,0.0,30.0,34.243440963,13247.0,0.15987002998643265,1.3965426134219068,0.11447558309352829,0,0
50900,22000.0,77826.0,HomeImp,Other,3.0,2.0,0.0,263.73333333,7.0,14.0,34.818261819,55826.0,0.6540230771207566,0.911761544799914,0.7173181199085139,0,1
12200,91000.0,114053.0,DebtCon,Other,11.0,0.0,0.0,173.5,0.0,27.0,34.818261819,23053.0,0.10696781320964814,0.5292152865136859,0.20212532769852612,0,0
25500,50847.0,79738.0,DebtCon,Other,20.0,0.0,0.0,204.67790067,0.0,26.0,35.860087635,28891.0,0.3197973362763049,0.8826278079678793,0.36232411146504806,0,0
11900,26601.0,52544.0,HomeImp,Other,0.0,0.0,0.0,240.6943608,0.0,11.0,40.775677146,25943.0,0.2264768574908648,0.45869791465906024,0.493738580998782,0,0
20100,70491.0,100797.0,DebtCon,Other,7.0,2.0,0.0,247.03727185,2.0,14.0,40.272149382,30306.0,0.199410696746927,0.6632350029697089,0.30066371022947114,0,1
24100,164155.0,225184.0,HomeImp,Self,2.0,0.0,0.0,173.46666667,1.0,20.0,31.564226916,61029.0,0.10702358959783999,0.3948942306116764,0.2710183672019326,0,0
12600,55415.0,74307.0,HomeImp,Other,29.0,1.0,2.0,198.8467209,0.0,23.0,36.837741045,18892.0,0.16956679720618514,0.6669489731103112,0.25424253435073413,0,1
15000,42006.0,89235.5,DebtCon,Other,10.0,0.0,1.0,75.333333333,0.0,33.0,34.818261819,26623.0,0.17052682455753387,0.6479140328697851,0.28113879003558717,0,0
